# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
    2       1.324519808032e-10       6.219288615316e-06       8.084956007076e-07      -1.136224370957e-06      -5.172870390992e-07       2.632215729091e-07       7.524624655348e-06      -1.405816259603e-07      -1.251146309978e-06      -3.016011620732e-07       5.487978184069e-06       4.537635452205e-08      -1.474570498040e-07       2.847655761476e-06       5.046068447051e-07       6.175025461427e-07 
    3       1.233362611018e-10       1.397785624784e-05       2.348165183683e-06      -1.815361118708e-06      -7.426964472255e-07       9.680196447094e-07       1.519712891438e-05       5.511114519393e-08      -2.164080826915e-06      -2.854005198176e-07       1.099917146609e-05       2.589650258187e-07      -7.911877370346e-08       5.734547713410e-06       1.136074994138e-06       1.381282099258e-06 
    4       1.170227527319e-10       2.581282416966e-05       5.088415457155e-06      -2.386483241551e-06      -8.838311537529e-07       2.183179008918e-06       2.570530878282e-05       7.170593969755e-07      -3.079216181051e-06      -1.746849433586e-08       1.841425317746e-05       7.462183780816e-07       2.153263427793e-07       9.640045389837e-06       2.110158325659e-06       2.528706423049e-06 
    5       1.134811747948e-10       4.220753041564e-05       9.283983681706e-06      -2.776675666562e-06      -9.308135120783e-07       3.954505057226e-06       3.928981583116e-05       2.064776914583e-06      -3.902153219925e-06       5.706125787930e-07       2.781895641832e-05       1.629641318790e-06       8.208379885685e-07       1.461940710520e-05       3.498167579231e-06       4.118606237072e-06 
    6       1.117393385207e-10       6.345073777725e-05       1.513732820497e-05      -2.936567778214e-06      -8.824026454052e-07       6.299692566582e-06       5.620089857306e-05       4.294014934005e-06      -4.573468551086e-06       1.526497541293e-06       3.932170433132e-05       3.027418917273e-06       1.807500482253e-06       2.073383760935e-05       5.367738931298e-06       6.203132636218e-06 
    7       1.031406183149e-10       8.965977688171e-05       2.280376984585e-05      -2.831312561592e-06      -7.404873382489e-07       9.219764758250e-06       7.667204774764e-05       7.568738199038e-06      -5.058600783653e-06       2.884952674050e-06       5.303516840497e-05       5.049349355741e-06       3.232909768357e-06       2.805809265828e-05       7.781871283408e-06       8.830681739297e-06 
    8       1.018564527488e-10       1.208127201761e-04       3.239878188981e-05      -2.434635797573e-06      -5.079683950178e-07       1.270279921725e-05       1.009058253297e-04       1.202161069649e-05      -5.340463978266e-06       4.671406455366e-06       6.907481736818e-05       7.786294167809e-06       5.143323098341e-06       3.665415456126e-05       1.079716323744e-05       1.204490170144e-05 
    9       1.062295994679e-10       1.567764794748e-04       4.400309920647e-05      -1.725999665118e-06      -1.880539581714e-07       1.672717181935e-05       1.290662506635e-04       1.775625354466e-05      -5.410919491970e-06       6.904083950694e-06       8.754659522005e-05       1.132569140054e-05       7.576049904151e-06       4.660196036042e-05       1.446411380785e-05       1.588447525746e-05 
   10       1.074012850733e-10       1.973310718099e-04       5.766660585424e-05      -6.892200300847e-07       2.159310644691e-07       2.126426031564e-05       1.612755596932e-04       2.485068704160e-05      -5.269509483852e-06       9.595318756229e-06       1.085446818202e-04       1.572485783455e-05       1.056020195602e-05       5.795223651228e-05       1.882598612420e-05       2.038333023385e-05 
   11       1.044305613455e-10       2.421906498390e-04       7.341159184014e-05       6.882618912210e-07       7.005890037143e-07       2.628058341182e-05       1.976136877579e-04       3.336121814688e-05      -4.917393712405e-06       1.275221285646e-05       1.321546389059e-04       2.104958172130e-05       1.411852244783e-05       7.077534018928e-05       2.392055835555e-05       2.557075925615e-05 
   12       9.767561172644e-11       2.910216360428e-04       9.123563637281e-05       2.415782660406e-06       1.262462504059e-06       3.173950939020e-05       2.381193041217e-04       4.332437459633e-05      -4.359037552413e-06       1.637738375945e-05       1.584349396055e-04       2.733245940141e-05       1.826805435988e-05       8.511711863240e-05       2.977891895045e-05       3.147173322467e-05 
   13       1.060164223383e-10       3.434582475677e-04       1.111142543738e-04       4.499686515328e-06       1.898032201304e-06       3.760262018706e-05       2.827919968044e-04       5.476140237685e-05      -3.599630391228e-06       2.046915508528e-05       1.874444342600e-04       3.461058291533e-05       2.302039188379e-05       1.010163405959e-04       3.642694125471e-05       3.810710082611e-05 
